timeSec,positionX,positionY,yawRad,surgeVelocity,swayVelocity,yawRate,currentX,currentY,forceXBody,forceYBody,momentYaw,positionErrorNorm,yawError,forceNorm,requestedForceXBody,requestedForceYBody
0.000000000000000000e+00,3.000000000000000000e+00,-2.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.079999999999999988e-01,-3.800000000000000600e-02,-1.148749172613770408e+00,5.889004613550508971e+00,-4.000000000000000000e+00,3.605551275463989125e+00,-7.999999999999998224e-01,6.000000000000000000e+00,-3.023183816034933713e+01,1.549819914101198037e+02
5.000000000000000278e-02,3.005236401319708150e+00,-2.001793286622118195e+00,7.993450271604940482e-01,-1.493753059208075083e-03,7.627620243267269062e-03,-2.596802897119341799e-02,1.082292388402698730e-01,-3.803165840759825667e-02,-2.304016196413525286e+00,1.177673406587089033e+01,-8.000000000000000000e+00,3.610903237443841007e+00,-7.993450271604940482e-01,1.199999816214901571e+01,-3.042406931192555319e+01,1.551180731801162267e+02
1.000000000000000056e-01,3.010000562797281454e+00,-2.003271862443801954e+00,7.967706967402654605e-01,-4.454771839734505620e-03,2.264410041092057568e-02,-7.655540985628277173e-02,1.084603573054201270e-01,-3.806096337166370303e-02,-3.479612077675123150e+00,1.766043819880966126e+01,-1.200000000000000000e+01,3.615688253002325769e+00,-7.967706967402654605e-01,1.799996604399791522e+01,-3.083186259017749009e+01,1.547651111072458434e+02
1.500000000000000222e-01,3.013984936814094073e+00,-2.004228517354123440e+00,7.910782911572789011e-01,-8.875147831113493896e-03,4.481454008783174875e-02,-1.504835105677639340e-01,1.086945900165050966e-01,-3.808606959496469574e-02,-4.701188923386253826e+00,2.353476794866389099e+01,-1.600000000000000000e+01,3.619535488031270454e+00,-7.910782911572789011e-01,2.399971832523929294e+01,-3.164285214978054839e+01,1.538789305859577610e+02
2.000000000000000111e-01,3.016898520897745239e+00,-2.004451805231498351e+00,7.811313494952969450e-01,-1.478051383434844657e-02,7.390441259288021980e-02,-2.465401061283164497e-01,1.089331970112651787e-01,-3.810523104346717760e-02,-6.009664786565760863e+00,2.939035424855535794e+01,-1.763237214378628437e+01,3.622085549085059419e+00,-7.811313494952969450e-01,2.999848319002920150e+01,-3.303356054741037440e+01,1.524092147562651576e+02
2.500000000000000000e-01,3.018472309800339204e+00,-2.003717859521142675e+00,7.662401171230457386e-01,-2.224910966419822722e-02,1.096743465292420033e-01,-3.482052725564904749e-01,1.091775128509729631e-01,-3.811683365880470797e-02,-7.462531583676035751e+00,3.521179548504091628e+01,-1.542375664751227404e+01,3.622990525187084199e+00,-7.662401171230457386e-01,3.599388724377669035e+01,-3.510582380933922053e+01,1.503076074150198167e+02
3.000000000000000444e-01,3.018463467597815253e+00,-2.001785272858230602e+00,7.467604480655976040e-01,-3.143210232506847557e-02,1.518724628447894187e-01,-4.302520032119608873e-01,1.094289773430053847e-01,-3.811942039087486134e-02,-9.128992680482513222e+00,4.097572707839198358e+01,-1.343882278450853818e+01,3.621914684784103056e+00,-7.467604480655976040e-01,4.198033726595308934e+01,-3.778958433980617571e+01,1.475510283717206050e+02
3.500000000000000333e-01,3.016655154510287762e+00,-1.998397446119907217e+00,7.236109386777958008e-01,-4.256710783088930861e-02,2.002244497599955930e-01,-4.951513450950294493e-01,1.096891214468424525e-01,-3.811169015876181287e-02,-1.108702965321661793e+01,4.664724285580160767e+01,-1.165862891468873919e+01,3.618535708527975014e+00,-7.236109386777958008e-01,4.794671513857272771e+01,-4.091740587407159069e+01,1.441368779439957848e+02
4.000000000000000222e-01,3.012854730346252285e+00,-1.993287695832277828e+00,6.975929714667579162e-01,-5.598758235549973483e-02,2.544193110743636632e-01,-5.451230395011807950e-01,1.099595366299363358e-01,-3.809248707140225343e-02,-1.342647198696653277e+01,5.217236815456712407e+01,-1.006551498204229134e+01,3.612546119363203356e+00,-6.975929714667579162e-01,5.387231337962466426e+01,-4.433131654451540271e+01,1.400663140339634083e+02
4.500000000000000111e-01,3.006890759699731852e+00,-1.986186168457306778e+00,6.694027413296037565e-01,-7.213598519535824316e-02,3.140858084257434069e-01,-5.821568939018313404e-01,1.102418333823005359e-01,-3.806078245876909349e-02,-1.625134889422362505e+01,5.746576691706798101e+01,-8.643049296056746655e+00,3.603654747133630210e+00,-6.694027413296037565e-01,5.971951697936419379e+01,-4.788116909575156654e+01,1.353483834935971402e+02
5.000000000000000000e-01,2.998608606499746809e+00,-1.976828998335184107e+00,6.396422499073288748e-01,-9.157969178103606001e-02,3.787537137053411107e-01,-6.080326983584495304e-01,1.105375862691666822e-01,-3.801564843916914460e-02,-1.967840751491379692e+01,6.239073079615919681e+01,-7.375973168509288413e+00,3.591588292612788003e+00,-6.396422499073288748e-01,6.542050910533961883e+01,-5.142289125388716542e+01,1.300036189567028657e+02
