timeSec,positionX,positionY,yawRad,surgeVelocity,swayVelocity,yawRate,currentX,currentY,forceXBody,forceYBody,momentYaw,positionErrorNorm,yawError,forceNorm,requestedForceXBody,requestedForceYBody
0.000000000000000000e+00,3.000000000000000000e+00,-2.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000042e-02,2.500000000000000000e-01,-1.532363986542508494e+00,5.801022376508087497e+00,-4.000000000000000000e+00,3.605551275463989125e+00,-7.999999999999998224e-01,5.999999999999999112e+00,-3.668994340639372354e+01,1.388959702541280592e+02
5.000000000000000278e-02,2.998829729516784948e+00,-1.987404260972458703e+00,7.993450271604940482e-01,-1.992578926094030946e-03,7.513662938705384202e-03,-2.596802897119341799e-02,-1.882404418472388014e-02,2.500109939551312110e-01,-3.088088711145386078e+00,1.159582354490543921e+01,-8.000000000000000000e+00,3.597604125409742171e+00,-7.993450271604940482e-01,1.199997564882891510e+01,-3.712842414792462620e+01,1.384540893946595759e+02
1.000000000000000056e-01,2.997214388243664818e+00,-1.974524700890890383e+00,7.967706967402654605e-01,-5.961475263496704424e-03,2.229936464920254102e-02,-7.655540985628277173e-02,-1.764525960888622610e-02,2.500250211223474794e-01,-4.682361747805066088e+00,1.738013798004638488e+01,-1.200000000000000000e+01,3.589156152011654388e+00,-7.967706967402654605e-01,1.799982521422802506e+01,-3.772108934832306915e+01,1.375160861583611052e+02
1.500000000000000222e-01,2.994832374553686893e+00,-1.961176430695144690e+00,7.910782911572789011e-01,-1.191055697219800882e-02,4.411746714256577911e-02,-1.504835105677639340e-01,-1.646180683177922086e-02,2.500452975286824309e-01,-6.342392901125756488e+00,2.314592470607126984e+01,-1.600000000000000000e+01,3.579837139310812599e+00,-7.910782911572789011e-01,2.399916203144124083e+01,-3.862903265685127252e+01,1.360282998687889915e+02
2.000000000000000111e-01,2.991377539399623586e+00,-1.947170368059739198e+00,7.811313494952969450e-01,-1.987898320529367033e-02,7.272536678633886864e-02,-2.465401061283164497e-01,-1.527180447987163368e-02,2.500748846825485705e-01,-8.110853055652958332e+00,2.887938340757506950e+01,-1.763237214378628437e+01,3.569287327391064135e+00,-7.811313494952969450e-01,2.999674521164116570e+01,-4.000009349736227193e+01,1.339311877390994709e+02
2.500000000000000000e-01,2.986563960915659788e+00,-1.932304771058297455e+00,7.662401171230457386e-01,-2.996048279213096160e-02,1.078701268191129548e-01,-3.482052725564904749e-01,-1.407324458336814237e-02,2.501166418277200321e-01,-1.004718672362077214e+01,3.455834563022581563e+01,-1.542375664751227404e+01,3.557157013809609136e+00,-7.662401171230457386e-01,3.598923747118642780e+01,-4.191250844157954702e+01,1.311713519052361221e+02
3.000000000000000444e-01,2.980129596034724049e+00,-1.916359936367439731e+00,7.467604480655976040e-01,-4.232388823568696695e-02,1.492779598900155769e-01,-4.302520032119608873e-01,-1.286393955816319754e-02,2.501731894271594925e-01,-1.222274196707603799e+01,4.015003226152717275e+01,-1.343882278450853818e+01,3.543107084872866963e+00,-7.467604480655976040e-01,4.196928057276410584e+01,-4.429085811496482705e+01,1.277303461017314135e+02
3.500000000000000333e-01,2.971836086841842750e+00,-1.899100712158313886e+00,7.236109386777958008e-01,-5.722685638385488494e-02,1.966411329591155888e-01,-4.951513450950294493e-01,-1.164154733467130318e-02,2.502469110994840484e-01,-1.471753925120349393e+01,4.560676997843370373e+01,-1.165862891468873919e+01,3.526810633132384520e+00,-7.236109386777958008e-01,4.792268178510544629e+01,-4.697432884770753958e+01,1.236165352840585143e+02
4.000000000000000222e-01,2.961467150358005007e+00,-1.880281987102407237e+00,6.975929714667579162e-01,-7.502506639842168590e-02,2.495997310770195488e-01,-5.451230395011807950e-01,-1.040362624780007302e-02,2.503399697211267649e-01,-1.762224108566602609e+01,5.085678971676517079e+01,-1.006551498204229134e+01,3.507954964601361691e+00,-6.975929714667579162e-01,5.382338191879628653e+01,-4.981132349836153850e+01,1.188430520001816149e+02
4.500000000000000111e-01,2.948825957906548556e+00,-1.859656230784330289e+00,6.694027413296037565e-01,-9.618376362073446928e-02,3.077120699412618232e-01,-5.821568939018313404e-01,-9.147710440993050973e-03,2.504543336326723324e-01,-2.103772426545464924e+01,5.578978826213096198e+01,-8.643049296056746655e+00,3.486243799093582396e+00,-6.694027413296037565e-01,5.962454458193123230e+01,-5.265799082804751663e+01,1.134318451176379625e+02
