timeSec,positionX,positionY,yawRad,surgeVelocity,swayVelocity,yawRate,currentX,currentY,forceXBody,forceYBody,momentYaw,positionErrorNorm,yawError,forceNorm,requestedForceXBody,requestedForceYBody
0.000000000000000000e+00,3.000000000000000000e+00,-2.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.099999999999999978e-01,-9.999999999999997780e-02,-1.260523475462612231e+00,5.866095853956672102e+00,-4.000000000000000000e+00,3.605551275463989125e+00,-7.999999999999998224e-01,6.000000000000000000e+00,-3.552606543122895744e+01,1.653275874588873364e+02
5.000000000000000278e-02,3.015334393697402859e+00,-2.004896422372323350e+00,7.993450271604940482e-01,-1.639096543061397760e-03,7.597948111915219481e-03,-2.596802897119341799e-02,3.109820650725651503e-01,-1.003078078724546907e-01,-2.531556686419664803e+00,1.172992349267902767e+01,-8.000000000000000000e+00,3.621029020907707174e+00,-7.993450271604940482e-01,1.199999518335984483e+01,-3.593778635265944388e+01,1.658979566395613858e+02
1.000000000000000056e-01,3.030228135353699948e+00,-2.009501348192511916e+00,7.967706967402654605e-01,-4.892591157411810970e-03,2.255472015693030588e-02,-7.655540985628277173e-02,3.119699211965230035e-01,-1.006090426831807022e-01,-3.827166200263726559e+00,1.758837004339848775e+01,-1.200000000000000000e+01,3.635983803687343752e+00,-7.967706967402654605e-01,1.799994338624314594e+01,-3.658008363211211389e+01,1.659721485002945656e+02
1.500000000000000222e-01,3.044369678946810875e+00,-2.013613651593593179e+00,7.910782911572789011e-01,-9.754654642405909473e-03,4.463459337161634205e-02,-1.504835105677639340e-01,3.129675520109624354e-01,-1.008974734579767829e-01,-5.173247723700625578e+00,2.343542610027546758e+01,-1.600000000000000000e+01,3.650044750407150040e+00,-7.910782911572789011e-01,2.399961850763979143e+01,-3.765682907858214179e+01,1.654973152834280938e+02
2.000000000000000111e-01,3.057463871284231249e+00,-2.017027705442479224e+00,7.811313494952969450e-01,-1.625326720069669717e-02,7.360138899420902436e-02,-2.465401061283164497e-01,3.139790311830941705e-01,-1.011671970433945245e-01,-6.610870369187797024e+00,2.926065065639194884e+01,-1.763237214378628437e+01,3.662852179481300041e+00,-7.811313494952969450e-01,2.999815467447315953e+01,-3.936183418142907442e+01,1.644131781587784928e+02
2.500000000000000000e-01,3.069237225368818045e+00,-2.019525105090628436e+00,7.662401171230457386e-01,-2.446915753267476373e-02,1.092127464932877712e-01,-3.482052725564904749e-01,3.150086879346366553e-01,-1.014127435740554417e-01,-8.197445491219699676e+00,3.504708128175586523e+01,-1.542375664751227404e+01,3.674057538428187719e+00,-7.662401171230457386e-01,3.599299958257883958e+01,-4.181009488366266424e+01,1.626622469906960760e+02
3.000000000000000444e-01,3.079441973643218144e+00,-2.020869475930997083e+00,7.467604480655976040e-01,-3.455581851652075182e-02,1.512118689832998297e-01,-4.302520032119608873e-01,3.160612108920765051e-01,-1.016291575375415090e-01,-1.000169400627994243e+01,4.076937866094745289e+01,-1.343882278450853818e+01,3.683324084001469156e+00,-7.467604480655976040e-01,4.197828152026919213e+01,-4.493186751238884113e+01,1.602177992901571884e+02
3.500000000000000333e-01,3.087855934185385731e+00,-2.020808830275456547e+00,7.236109386777958008e-01,-4.675251025738140498e-02,1.993171219862805987e-01,-4.951513450950294493e-01,3.171416009505194644e-01,-1.018119950983080585e-01,-1.210046264304517649e+01,4.639033678295215424e+01,-1.165862891468873919e+01,3.690328250820400946e+00,-7.236109386777958008e-01,4.794251289838128116e+01,-4.855165070302818719e+01,1.570776366991172779e+02
4.000000000000000222e-01,3.094280825940778357e+00,-2.019080704880057198e+00,6.975929714667579162e-01,-6.139281886244284808e-02,2.532074354120121829e-01,-5.451230395011807950e-01,3.182550685245837951e-01,-1.019572904023310078e-01,-1.458134889186327676e+01,5.185341315258357753e+01,-1.006551498204229134e+01,3.694761253802969936e+00,-6.975929714667579162e-01,5.386457269002298176e+01,-5.250337368882035349e+01,1.532435186054111114e+02
4.500000000000000111e-01,3.098539449367537557e+00,-2.015419110268196867e+00,6.694027413296037565e-01,-7.891642819048536039e-02,3.124984842251608552e-01,-5.821568939018313404e-01,3.194068945633357637e-01,-1.020614991900139767e-01,-1.754438312226410090e+01,5.707073316859495549e+01,-8.643049296056746655e+00,3.696330735921926625e+00,-6.694027413296037565e-01,5.970656549778884425e+01,-5.662904476400132125e+01,1.487255411705586994e+02
